product_id,product_name,category,unit_price
1,Electronics item 1,Electronics,60.27
2,Toys item 2,Toys,813.08
3,Home item 3,Home,517.57
4,Home item 4,Home,152.26
5,Grocery item 5,Grocery,470.71
6,Electronics item 6,Electronics,613.86
7,Fashion item 7,Fashion,526.92
8,Electronics item 8,Electronics,809.51
9,Books item 9,Books,728.78
10,Books item 10,Books,123.09
11,Books item 11,Books,413.83
12,Electronics item 12,Electronics,505.12
13,Fashion item 13,Fashion,727.19
14,Fashion item 14,Fashion,24.48
15,Sports item 15,Sports,735.73
16,Fashion item 16,Fashion,200.02
17,Electronics item 17,Electronics,45.53
18,Sports item 18,Sports,631.84
19,Toys item 19,Toys,894.74
20,Electronics item 20,Electronics,887.59
21,Books item 21,Books,33.4
22,Books item 22,Books,166.08
23,Home item 23,Home,690.42
24,Fashion item 24,Fashion,583.06
25,Books item 25,Books,340.14
26,Books item 26,Books,406.44
27,Books item 27,Books,341.2
28,Fashion item 28,Fashion,867.91
29,Grocery item 29,Grocery,487.67
30,Fashion item 30,Fashion,774.96
31,Electronics item 31,Electronics,164.73
32,Toys item 32,Toys,356.79
33,Home item 33,Home,656.43
34,Home item 34,Home,752.17
35,Grocery item 35,Grocery,25.35
36,Sports item 36,Sports,419.39
37,Fashion item 37,Fashion,492.28
38,Toys item 38,Toys,344.45
39,Home item 39,Home,226.52
40,Sports item 40,Sports,143.83
41,Home item 41,Home,843.98
42,Fashion item 42,Fashion,690.11
43,Electronics item 43,Electronics,729.48
44,Books item 44,Books,555.36
45,Electronics item 45,Electronics,220.4
46,Electronics item 46,Electronics,95.3
47,Electronics item 47,Electronics,404.56
48,Fashion item 48,Fashion,634.44
49,Electronics item 49,Electronics,224.04
50,Electronics item 50,Electronics,365.03
51,Home item 51,Home,488.09
52,Grocery item 52,Grocery,778.04
53,Electronics item 53,Electronics,130.42
54,Sports item 54,Sports,214.57
55,Fashion item 55,Fashion,520.62
56,Toys item 56,Toys,540.14
57,Fashion item 57,Fashion,737.45
58,Home item 58,Home,275.08
59,Home item 59,Home,887.2
60,Toys item 60,Toys,202.83
61,Sports item 61,Sports,251.26
62,Toys item 62,Toys,853.93
63,Fashion item 63,Fashion,820.86
64,Fashion item 64,Fashion,612.48
65,Toys item 65,Toys,448.58
66,Sports item 66,Sports,847.72
67,Fashion item 67,Fashion,346.13
68,Toys item 68,Toys,290.27
69,Books item 69,Books,370.39
70,Sports item 70,Sports,341.93
71,Grocery item 71,Grocery,486.45
72,Home item 72,Home,765.16
73,Sports item 73,Sports,772.5
74,Home item 74,Home,726.17
75,Electronics item 75,Electronics,508.34
76,Books item 76,Books,503.77
77,Home item 77,Home,352.64
78,Sports item 78,Sports,186.99
79,Fashion item 79,Fashion,75.77
80,Books item 80,Books,763.18
81,Electronics item 81,Electronics,484.39
82,Grocery item 82,Grocery,175.48
83,Sports item 83,Sports,342.57
84,Toys item 84,Toys,544.62
85,Grocery item 85,Grocery,70.14
86,Grocery item 86,Grocery,686.72
87,Fashion item 87,Fashion,605.95
88,Home item 88,Home,434.06
89,Grocery item 89,Grocery,816.79
90,Sports item 90,Sports,861.53
91,Electronics item 91,Electronics,194.57
92,Home item 92,Home,866.06
93,Electronics item 93,Electronics,673.46
94,Grocery item 94,Grocery,433.63
95,Home item 95,Home,627.59
96,Fashion item 96,Fashion,188.04
97,Home item 97,Home,499.11
98,Grocery item 98,Grocery,258.34
99,Books item 99,Books,482.62
100,Sports item 100,Sports,281.04
